"","MR2","MR1","MR3"
"perceived_as_weed",-0.0279370751451265,0.760071678188705,-0.0877913154816475
"lack_of_knowledge_benefits",0.561590134960825,-0.0037589487800119,-0.0437004369138504
"seed_scarcity",0.230201651388137,-0.506402522875216,0.235683026016058
"loss_of_knowledge",0.548635548711624,0.0437983934480395,0.18389881931274
"loss_of_culinary_tradition",0.773818794758849,-0.0613217115538757,-0.1434534445147
"sensory_rejection",0.51519137514297,0.143214313596047,0.113984872593518
"climate_limitation",0.0558839115055893,-0.375060363913281,0.294635754496872
"water_scarcity",-0.0442775291719414,-0.0529390806777657,0.881060807366396
"space_limitation",0.242945534852508,0.560811195611633,0.175512108441175
"limited_availability",-0.0293564430593455,-0.161573379311354,-0.0326459264942563
