"bioculture","plant_name","n","dispuestos","proporcion","porcentaje"
"Jalq'a","Achira",30,17,0.566666666666667,56.6666666666667
"Jalq'a","Ajipa",30,11,0.366666666666667,36.6666666666667
"Jalq'a","Cordero o jataku",30,0,0,0
"Jalq'a","Frijoles nativos",30,26,0.866666666666667,86.6666666666667
"Jalq'a","Isaño",30,24,0.8,80
"Jalq'a","Kh'ita quilquina",30,25,0.833333333333333,83.3333333333333
"Jalq'a","Locosti",30,4,0.133333333333333,13.3333333333333
"Jalq'a","Muña",30,7,0.233333333333333,23.3333333333333
"Jalq'a","Oqhoruro",30,4,0.133333333333333,13.3333333333333
"Jalq'a","Quinua",30,30,1,100
"Jalq'a","Tarwi",30,29,0.966666666666667,96.6666666666667
"Jalq'a","Tomate de árbol",30,21,0.7,70
"Jalq'a","Tuna",30,26,0.866666666666667,86.6666666666667
"Jalq'a","Yacón",30,26,0.866666666666667,86.6666666666667
"Jalq'a","Zapallo criollo",30,30,1,100
"Mojocoya","Achira",30,22,0.733333333333333,73.3333333333333
"Mojocoya","Ajipa",30,10,0.333333333333333,33.3333333333333
"Mojocoya","Cordero o jataku",30,0,0,0
"Mojocoya","Frijoles nativos",30,27,0.9,90
"Mojocoya","Isaño",30,0,0,0
"Mojocoya","Kh'ita quilquina",30,16,0.533333333333333,53.3333333333333
"Mojocoya","Locosti",30,5,0.166666666666667,16.6666666666667
"Mojocoya","Muña",30,14,0.466666666666667,46.6666666666667
"Mojocoya","Oqhoruro",30,1,0.0333333333333333,3.33333333333333
"Mojocoya","Quinua",30,26,0.866666666666667,86.6666666666667
"Mojocoya","Tarwi",30,5,0.166666666666667,16.6666666666667
"Mojocoya","Tomate de árbol",30,8,0.266666666666667,26.6666666666667
"Mojocoya","Tuna",30,26,0.866666666666667,86.6666666666667
"Mojocoya","Yacón",30,25,0.833333333333333,83.3333333333333
"Mojocoya","Zapallo criollo",30,30,1,100
